title,artist,year,views,url
Faint,Linkin Park,2003,214155,https://genius.com/Linkin-Park-Faint-lyrics
I Want to Break Free,Queen,1984,381795,https://genius.com/Queen-I-Want-to-Break-Free-lyrics
Stepping Stone,Eminem,2018,784199,https://genius.com/Eminem-Stepping-Stone-lyrics
Loner,Kali Uchis,2015,348355,https://genius.com/Kali-Uchis-Loner-lyrics
Naked,Ella Mai,2017,315699,https://genius.com/Ella-Mai-Naked-lyrics
Beautiful Trauma,P!nk,2017,307180,https://genius.com/Pnk-Beautiful-Trauma-lyrics
Life Is Good,Future,2020,2231066,https://genius.com/Future-Life-Is-Good-lyrics
Landslide,Fleetwood Mac,1975,651887,https://genius.com/Fleetwood-Mac-Landslide-lyrics
Beast Mode,A Boogie wit da Hoodie,2017,189918,https://genius.com/A-Boogie-wit-da-Hoodie-Beast-Mode-lyrics
Uproar,Lil Wayne,2018,804893,https://genius.com/Lil-Wayne-Uproar-lyrics
JD,A$AP Rocky,2015,236971,https://genius.com/AAP-Rocky-JD-lyrics
Salvatore,Salvatore Lyrics - Lana Del Rey,2015,392743,https://genius.com/Salvatore-Lyrics-Lana-Del-Rey-Salvatore-lyrics
BTS - Tomorrow English Translation,Genius English Translations,2014,289921,https://genius.com/Genius-English-Translations-BTS-Tomorrow-English-Translation-lyrics
Gangsta,Kehlani,2016,776674,https://genius.com/Kehlani-Gangsta-lyrics
This Feeling,The Chainsmokers,2018,622672,https://genius.com/The-Chainsmokers-This-Feeling-lyrics
I Dunno,Tion Wayne,2020,217122,https://genius.com/Tion-Wayne-I-Dunno-lyrics
Watch My Shoes,Lil Wayne,2009,232712,https://genius.com/Lil-Wayne-Watch-My-Shoes-lyrics
Rise,Jonas Blue,2018,686874,https://genius.com/Jonas-Blue-Rise-lyrics
Hello,Adele,2015,5213471,https://genius.com/Adele-Hello-lyrics
Nurses Office,Melanie Martinez,2019,331099,https://genius.com/Melanie-Martinez-Nurses-Office-lyrics
WEIGHT,BROCKHAMPTON,2018,265445,https://genius.com/BROCKHAMPTON-WEIGHT-lyrics
Bad Boy,Juice WRLD & Young Thug,2021,480739,https://genius.com/Juice-WRLD-Young-Thug-Bad-Boy-lyrics
​everybody dies,J. Cole,2016,856466,https://genius.com/J-Cole-​everybody-dies-lyrics
All Along the Watchtower,The Jimi Hendrix Experience,1968,323448,https://genius.com/The-Jimi-Hendrix-Experience-All-Along-the-Watchtower-lyrics
I Can See,Mac Miller,2020,207978,https://genius.com/Mac-Miller-I-Can-See-lyrics
For Emma,Bon Iver,2007,260162,https://genius.com/Bon-Iver-For-Emma-lyrics
Wild Side,Normani,2021,351513,https://genius.com/Normani-Wild-Side-lyrics
Crush,Yuna,2016,213357,https://genius.com/Yuna-Crush-lyrics
Again,Young Thug,2015,497418,https://genius.com/Young-Thug-Again-lyrics
Carry On,XXXTENTACION,2017,1285535,https://genius.com/XXXTENTACION-Carry-On-lyrics
Kill Yourself,Pink Guy,2014,421314,https://genius.com/Pink-Guy-Kill-Yourself-lyrics
Go Stupid,"Polo G, Stunna 4 Vegas & NLE Choppa",2020,365404,https://genius.com/Polo-G-Stunna-4-Vegas-NLE-Choppa-Go-Stupid-lyrics
Walk It Talk It,Migos,2018,1475760,https://genius.com/Migos-Walk-It-Talk-It-lyrics
How Many Drinks? Remix,Miguel,2013,307945,https://genius.com/Miguel-How-Many-Drinks-Remix-lyrics
Yebbas Heartbreak,Drake & YEBBA,2021,223351,https://genius.com/Drake-YEBBA-Yebbas-Heartbreak-lyrics
Blue Tint,Drake,2018,584755,https://genius.com/Drake-Blue-Tint-lyrics
Waka Waka This Time for Africa,Shakira,2010,338045,https://genius.com/Shakira-Waka-Waka-This-Time-for-Africa-lyrics
War Pigs,Black Sabbath,1970,335931,https://genius.com/Black-Sabbath-War-Pigs-lyrics
Ooh Kill Em,Meek Mill,2013,760950,https://genius.com/Meek-Mill-Ooh-Kill-Em-lyrics
Omen,Disclosure,2015,280348,https://genius.com/Disclosure-Omen-lyrics
Revenge,CaptainSparklez,2011,3348066,https://genius.com/CaptainSparklez-Revenge-lyrics
1950,King Princess,2018,1031959,https://genius.com/King-Princess-1950-lyrics
Astronaut in the Ocean,Masked Wolf,2019,649417,https://genius.com/Masked-Wolf-Astronaut-in-the-Ocean-lyrics
The Lazy Song,Bruno Mars,2011,343155,https://genius.com/Bruno-Mars-The-Lazy-Song-lyrics
Daddy Issues,The Neighbourhood,2015,1066562,https://genius.com/The-Neighbourhood-Daddy-Issues-lyrics
Levanter English Ver.,Stray Kids,2020,288693,https://genius.com/Stray-Kids-Levanter-English-Ver-lyrics
Shape of You Stormzy Remix,Ed Sheeran,2017,366060,https://genius.com/Ed-Sheeran-Shape-of-You-Stormzy-Remix-lyrics
Fumes,EDEN,2016,208974,https://genius.com/EDEN-Fumes-lyrics
Arabian Nights 2019,Will Smith,2019,249586,https://genius.com/Will-Smith-Arabian-Nights-2019-lyrics
Call Casting,Migos,2017,478856,https://genius.com/Migos-Call-Casting-lyrics
White Flag,Dido,2003,199005,https://genius.com/Dido-White-Flag-lyrics
Moon River,Frank Ocean,2018,453618,https://genius.com/Frank-Ocean-Moon-River-lyrics
Sorry Not Sorry,Bryson Tiller,2015,1157564,https://genius.com/Bryson-Tiller-Sorry-Not-Sorry-lyrics
Gees,Mac Miller,2013,280018,https://genius.com/Mac-Miller-Gees-lyrics
Love Myself,Hailee Steinfeld,2015,293197,https://genius.com/Hailee-Steinfeld-Love-Myself-lyrics
The Pot,Tool,2006,448862,https://genius.com/Tool-The-Pot-lyrics
Love Me Like You Do,Ellie Goulding,2015,666481,https://genius.com/Ellie-Goulding-Love-Me-Like-You-Do-lyrics
Lovers and Friends,Lil Jon,2004,316940,https://genius.com/Lil-Jon-Lovers-and-Friends-lyrics
Dunno,Mac Miller,2018,362155,https://genius.com/Mac-Miller-Dunno-lyrics
Asshole,Eminem,2013,704320,https://genius.com/Eminem-Asshole-lyrics
My Side,Drake,2015,497009,https://genius.com/Drake-My-Side-lyrics
Peeno Noir,Unbreakable Kimmy Schmidt,2015,214056,https://genius.com/Unbreakable-Kimmy-Schmidt-Peeno-Noir-lyrics
Purple Kisses,A$AP Rocky,2012,210347,https://genius.com/AAP-Rocky-Purple-Kisses-lyrics
When You Love Someone,James TW,2016,281906,https://genius.com/James-TW-When-You-Love-Someone-lyrics
Make Me Feel,Janelle Mone,2018,277679,https://genius.com/Janelle-Mone-Make-Me-Feel-lyrics
Girls / Girls / Boys,Panic! at the Disco,2013,425830,https://genius.com/Panic-at-the-Disco-Girls-Girls-Boys-lyrics
K/DA - POP/STARS Romanized,Genius Romanizations,2018,313603,https://genius.com/Genius-Romanizations-KDA-POPSTARS-Romanized-lyrics
Television / So Far So Good,Rex Orange County,2017,406069,https://genius.com/Rex-Orange-County-Television-So-Far-So-Good-lyrics
BTS - Pied Piper English Translation,Genius English Translations,2017,1082916,https://genius.com/Genius-English-Translations-BTS-Pied-Piper-English-Translation-lyrics
Reminder,The Weeknd,2016,3118417,https://genius.com/The-Weeknd-Reminder-lyrics
8 Mile,Eminem,2002,612281,https://genius.com/Eminem-8-Mile-lyrics
In Your Eyes Remix,The Weeknd,2020,209697,https://genius.com/The-Weeknd-In-Your-Eyes-Remix-lyrics
All Dat,Moneybagg Yo & Megan Thee Stallion,2019,234240,https://genius.com/Moneybagg-Yo-Megan-Thee-Stallion-All-Dat-lyrics
How to Love,Lil Wayne,2011,623658,https://genius.com/Lil-Wayne-How-to-Love-lyrics
By the Way,Red Hot Chili Peppers,2002,280006,https://genius.com/Red-Hot-Chili-Peppers-By-the-Way-lyrics
NEW ORLEANS,BROCKHAMPTON,2018,345855,https://genius.com/BROCKHAMPTON-NEW-ORLEANS-lyrics
BTS - 00:00 Zero OClock English Translation,Genius English Translations,2020,802237,https://genius.com/Genius-English-Translations-BTS-0000-Zero-OClock-English-Translation-lyrics
CLOUT COBAIN | CLOUT CO13A1N,Denzel Curry,2018,705703,https://genius.com/Denzel-Curry-CLOUT-COBAIN-CLOUT-CO13A1N-lyrics
She Looks So Perfect,5 Seconds of Summer,2014,705993,https://genius.com/5-Seconds-of-Summer-She-Looks-So-Perfect-lyrics
​asmr,21 Savage,2018,312567,https://genius.com/21-Savage-​asmr-lyrics
Colors,Halsey,2015,1324094,https://genius.com/Halsey-Colors-lyrics
Love You Like a Love Song,Selena Gomez & The Scene,2011,206348,https://genius.com/Selena-Gomez-The-Scene-Love-You-Like-a-Love-Song-lyrics
Wither,Frank Ocean,2016,267706,https://genius.com/Frank-Ocean-Wither-lyrics
JUGGERNAUT,"Tyler, The Creator",2021,407787,https://genius.com/Tyler-The-Creator-JUGGERNAUT-lyrics
Canceled,Bryson Tiller,2018,211009,https://genius.com/Bryson-Tiller-Canceled-lyrics
Cant Take My Eyes Off You,Frankie Valli,1967,1243780,https://genius.com/Frankie-Valli-Cant-Take-My-Eyes-Off-You-lyrics
Middle,DJ Snake,2015,549025,https://genius.com/DJ-Snake-Middle-lyrics
Do It Myself,Russ,2015,402266,https://genius.com/Russ-Do-It-Myself-lyrics
151 Rum,JID,2018,576729,https://genius.com/JID-151-Rum-lyrics
WingRiddenAngel,XXXTENTACION,2015,966831,https://genius.com/XXXTENTACION-WingRiddenAngel-lyrics
Drew Barrymore,SZA,2017,1215374,https://genius.com/SZA-Drew-Barrymore-lyrics
4 Walls,VEDO,2015,255061,https://genius.com/VEDO-4-Walls-lyrics
Hate Me,Blue October,2006,285571,https://genius.com/Blue-October-Hate-Me-lyrics
Best Friend,Saweetie,2021,577245,https://genius.com/Saweetie-Best-Friend-lyrics
Audacity,Stormzy,2019,203876,https://genius.com/Stormzy-Audacity-lyrics
Audubon,$UICIDEBOY$,2017,288506,https://genius.com/UICIDEBOY-Audubon-lyrics
Agust D - 사람 People English Translation,Genius English Translations,2020,358139,https://genius.com/Genius-English-Translations-Agust-D-사람-People-English-Translation-lyrics
Bury the Light,Casey Edwards,2020,299450,https://genius.com/Casey-Edwards-Bury-the-Light-lyrics
WHEN I WAS OLDER,Billie Eilish,2019,321072,https://genius.com/Billie-Eilish-WHEN-I-WAS-OLDER-lyrics
Feels Like Summer,Childish Gambino,2018,594211,https://genius.com/Childish-Gambino-Feels-Like-Summer-lyrics
Gang With Me,Polo G,2018,238756,https://genius.com/Polo-G-Gang-With-Me-lyrics
