title,artist,year,views,url
Sky Walker,Miguel,2017,995747,https://genius.com/Miguel-Sky-Walker-lyrics
Change In the House of Flies,Deftones,2000,190625,https://genius.com/Deftones-Change-In-the-House-of-Flies-lyrics
Lucid Dreams,Juice WRLD,2017,4695119,https://genius.com/Juice-WRLD-Lucid-Dreams-lyrics
Cole Summer,J. Cole,2013,533684,https://genius.com/J-Cole-Cole-Summer-lyrics
LUV SCARS K.o 1600,Lil Uzi Vert,2017,349834,https://genius.com/Lil-Uzi-Vert-LUV-SCARS-Ko-1600-lyrics
The Way I Are,Timbaland,2007,236653,https://genius.com/Timbaland-The-Way-I-Are-lyrics
El Scorcho,Weezer,1996,323691,https://genius.com/Weezer-El-Scorcho-lyrics
Friday Night Cypher,Big Sean,2020,491399,https://genius.com/Big-Sean-Friday-Night-Cypher-lyrics
Beautiful People,Ed Sheeran,2019,659007,https://genius.com/Ed-Sheeran-Beautiful-People-lyrics
Hot Remix,Young Thug,2019,744832,https://genius.com/Young-Thug-Hot-Remix-lyrics
Gooey,Glass Animals,2014,489906,https://genius.com/Glass-Animals-Gooey-lyrics
Glorious,Macklemore,2017,1358794,https://genius.com/Macklemore-Glorious-lyrics
Die For Me,Post Malone,2019,619333,https://genius.com/Post-Malone-Die-For-Me-lyrics
Hurt,Nine Inch Nails,1994,389490,https://genius.com/Nine-Inch-Nails-Hurt-lyrics
Earned It,The Weeknd,2014,1599269,https://genius.com/The-Weeknd-Earned-It-lyrics
Pigs Three Different Ones,Pink Floyd,1977,257085,https://genius.com/Pink-Floyd-Pigs-Three-Different-Ones-lyrics
Halftime,Nas,1992,429701,https://genius.com/Nas-Halftime-lyrics
Karma,Summer Walker,2018,244202,https://genius.com/Summer-Walker-Karma-lyrics
Water Under the Bridge,Adele,2015,527262,https://genius.com/Adele-Water-Under-the-Bridge-lyrics
The Invitation,Nick Cannon,2019,215599,https://genius.com/Nick-Cannon-The-Invitation-lyrics
Brown Paper Bag,Migos,2017,231010,https://genius.com/Migos-Brown-Paper-Bag-lyrics
Hide Away,Daya,2015,197452,https://genius.com/Daya-Hide-Away-lyrics
I Want It,Juice WRLD,2020,202953,https://genius.com/Juice-WRLD-I-Want-It-lyrics
Lil’ Kleine  Ronnie Flex - Drank  Drugs ft. New Wave English Translation,Genius English Translations,2015,301720,https://genius.com/Genius-English-Translations-Lil’-Kleine-Ronnie-Flex-Drank-Drugs-ft-New-Wave-English-Translation-lyrics
Star67,Drake,2015,1159485,https://genius.com/Drake-Star67-lyrics
Secrets,OneRepublic,2009,560888,https://genius.com/OneRepublic-Secrets-lyrics
Gentleman,SL,2017,752142,https://genius.com/SL-Gentleman-lyrics
Controlla Remix,Tory Lanez,2016,360712,https://genius.com/Tory-Lanez-Controlla-Remix-lyrics
Hallelujah,Jeff Buckley,1994,655454,https://genius.com/Jeff-Buckley-Hallelujah-lyrics
No New Friends,DJ Khaled,2013,1550794,https://genius.com/DJ-Khaled-No-New-Friends-lyrics
My Nigga Just Made Bail,Bas,2014,220503,https://genius.com/Bas-My-Nigga-Just-Made-Bail-lyrics
Long Live the Chief,Jidenna,2015,317062,https://genius.com/Jidenna-Long-Live-the-Chief-lyrics
Shelter,Porter Robinson & Madeon,2016,509624,https://genius.com/Porter-Robinson-Madeon-Shelter-lyrics
Her,Majid Jordan,2014,244544,https://genius.com/Majid-Jordan-Her-lyrics
​sex,EDEN,2016,392296,https://genius.com/EDEN-​sex-lyrics
​beibs in the trap,Travis Scott,2016,2075748,https://genius.com/Travis-Scott-​beibs-in-the-trap-lyrics
Shoot,BlocBoy JB,2017,209499,https://genius.com/BlocBoy-JB-Shoot-lyrics
Junya,Kanye West,2021,617701,https://genius.com/Kanye-West-Junya-lyrics
Black Smoke Rising,Greta Van Fleet,2017,264403,https://genius.com/Greta-Van-Fleet-Black-Smoke-Rising-lyrics
Kanye West,Young Thug,2016,271296,https://genius.com/Young-Thug-Kanye-West-lyrics
Torn,Natalie Imbruglia,1997,243867,https://genius.com/Natalie-Imbruglia-Torn-lyrics
Bitch Lasagna,PewDiePie & Party in Backyard,2018,1412036,https://genius.com/PewDiePie-Party-in-Backyard-Bitch-Lasagna-lyrics
Bags,Clairo,2019,303968,https://genius.com/Clairo-Bags-lyrics
I Am,Lil Baby & Gunna,2018,200007,https://genius.com/Lil-Baby-Gunna-I-Am-lyrics
Say So Remix,Doja Cat,2020,989623,https://genius.com/Doja-Cat-Say-So-Remix-lyrics
Zombie,Bad Wolves,2018,342157,https://genius.com/Bad-Wolves-Zombie-lyrics
Revenge,Joyner Lucas,2020,432704,https://genius.com/Joyner-Lucas-Revenge-lyrics
Sosa Chamberlain,Chief Keef,2015,295740,https://genius.com/Chief-Keef-Sosa-Chamberlain-lyrics
Migraine,twenty one pilots,2012,626660,https://genius.com/twenty-one-pilots-Migraine-lyrics
Do My Dance,Tyga,2012,238384,https://genius.com/Tyga-Do-My-Dance-lyrics
Be My Mistake,The 1975,2018,476119,https://genius.com/The-1975-Be-My-Mistake-lyrics
Kid A,Radiohead,2000,205458,https://genius.com/Radiohead-Kid-A-lyrics
PRIDE.,Kendrick Lamar,2017,1777191,https://genius.com/Kendrick-Lamar-PRIDE-lyrics
Hallelujah,Logic,2017,253344,https://genius.com/Logic-Hallelujah-lyrics
Budapest,George Ezra,2013,303582,https://genius.com/George-Ezra-Budapest-lyrics
Lucy in the Sky with Diamonds,The Beatles,1967,467832,https://genius.com/The-Beatles-Lucy-in-the-Sky-with-Diamonds-lyrics
Decalcomania,Jung Kook (),2019,239904,https://genius.com/Jung-Kook-Decalcomania-lyrics
Amityville,Eminem,2000,253061,https://genius.com/Eminem-Amityville-lyrics
6.18.18,Billie Eilish,2018,556894,https://genius.com/Billie-Eilish-61818-lyrics
Old School Love,Lupe Fiasco,2013,246326,https://genius.com/Lupe-Fiasco-Old-School-Love-lyrics
Party Girls,Ludacris,2014,224685,https://genius.com/Ludacris-Party-Girls-lyrics
No Angel,Beyonc,2013,330076,https://genius.com/Beyonc-No-Angel-lyrics
Eyes Closed,Halsey,2017,386487,https://genius.com/Halsey-Eyes-Closed-lyrics
Project Dreams,Marshmello & Roddy Ricch,2018,246901,https://genius.com/Marshmello-Roddy-Ricch-Project-Dreams-lyrics
Hard Piano,Pusha T,2018,255002,https://genius.com/Pusha-T-Hard-Piano-lyrics
XXL Freshmen 2016 Cypher - Part 1,XXL,2016,576084,https://genius.com/XXL-XXL-Freshmen-2016-Cypher-Part-1-lyrics
Dani California,Red Hot Chili Peppers,2006,464641,https://genius.com/Red-Hot-Chili-Peppers-Dani-California-lyrics
Souvenir,Selena Gomez,2020,272037,https://genius.com/Selena-Gomez-Souvenir-lyrics
Thief in the Night,Young Thug,2015,675032,https://genius.com/Young-Thug-Thief-in-the-Night-lyrics
Wild Thoughts,DJ Khaled,2017,3090921,https://genius.com/DJ-Khaled-Wild-Thoughts-lyrics
Reputation Prologue,Taylor Swift,2017,191976,https://genius.com/Taylor-Swift-Reputation-Prologue-lyrics
Modern Loneliness,Lauv,2020,223336,https://genius.com/Lauv-Modern-Loneliness-lyrics
What Makes You Beautiful,One Direction,2011,623621,https://genius.com/One-Direction-What-Makes-You-Beautiful-lyrics
BTS - Whalien 52 English Translation,Genius English Translations,2015,286014,https://genius.com/Genius-English-Translations-BTS-Whalien-52-English-Translation-lyrics
Surf,Mac Miller,2020,305414,https://genius.com/Mac-Miller-Surf-lyrics
Cant Stop,Red Hot Chili Peppers,2003,671753,https://genius.com/Red-Hot-Chili-Peppers-Cant-Stop-lyrics
One,U2,1992,632503,https://genius.com/U2-One-lyrics
Doves in the Wind,SZA,2017,944984,https://genius.com/SZA-Doves-in-the-Wind-lyrics
Now Im Up to My Neck With Offers,$UICIDEBOY$,2017,371903,https://genius.com/UICIDEBOY-Now-Im-Up-to-My-Neck-With-Offers-lyrics
Kill Em With Kindness,Selena Gomez,2016,230041,https://genius.com/Selena-Gomez-Kill-Em-With-Kindness-lyrics
Lithium,Nirvana,1992,848115,https://genius.com/Nirvana-Lithium-lyrics
Waving Through a Window,Ben Platt & Original Broadway Cast of Dear Evan Hansen,2017,890718,https://genius.com/Ben-Platt-Original-Broadway-Cast-of-Dear-Evan-Hansen-Waving-Through-a-Window-lyrics
BOSS,THE CARTERS,2018,471216,https://genius.com/THE-CARTERS-BOSS-lyrics
Never Let Me Down,Kanye West,2004,693524,https://genius.com/Kanye-West-Never-Let-Me-Down-lyrics
Nice For What,Drake,2018,2942444,https://genius.com/Drake-Nice-For-What-lyrics
My Suicide Letter,X (random),2014,192190,https://genius.com/X-random-My-Suicide-Letter-lyrics
BTS - Im Fine English Translation,Genius English Translations,2018,503204,https://genius.com/Genius-English-Translations-BTS-Im-Fine-English-Translation-lyrics
Roses Imanbek Remix,SAINt JHN,2019,448605,https://genius.com/SAINt-JHN-Roses-Imanbek-Remix-lyrics
Stranger Things,Kygo,2017,281051,https://genius.com/Kygo-Stranger-Things-lyrics
Heaven,JAY-Z,2013,653231,https://genius.com/JAYZ-Heaven-lyrics
Grace,Lil Baby & 42 Dugg,2020,418874,https://genius.com/Lil-Baby-42-Dugg-Grace-lyrics
Seduction,Eminem,2010,316510,https://genius.com/Eminem-Seduction-lyrics
​drivers license,Olivia Rodrigo,2021,3643348,https://genius.com/Olivia-Rodrigo-​drivers-license-lyrics
No,Meghan Trainor,2016,1522917,https://genius.com/Meghan-Trainor-No-lyrics
Through the Valley,Shawn James,2012,381308,https://genius.com/Shawn-James-Through-the-Valley-lyrics
Cleanin Out My Closet,Eminem,2002,1616362,https://genius.com/Eminem-Cleanin-Out-My-Closet-lyrics
Canadian Goose,Lil Uzi Vert,2016,294336,https://genius.com/Lil-Uzi-Vert-Canadian-Goose-lyrics
Should Have Known Better,Sufjan Stevens,2015,378028,https://genius.com/Sufjan-Stevens-Should-Have-Known-Better-lyrics
Broad Shoulders,Broad Shoulders Lyrics - Taylor Bennett,2015,208313,https://genius.com/Broad-Shoulders-Lyrics-Taylor-Bennett-Broad-Shoulders-lyrics
Know Better,OFB,2018,253754,https://genius.com/OFB-Know-Better-lyrics
Uptown,Drake,2009,317936,https://genius.com/Drake-Uptown-lyrics
PORN,Lil Barnacle & Lil LimaBean,2017,214134,https://genius.com/Lil-Barnacle-Lil-LimaBean-PORN-lyrics
Older,Sasha Alex Sloan,2018,238174,https://genius.com/Sasha-Alex-Sloan-Older-lyrics
Baby,Justin Bieber,2010,2232442,https://genius.com/Justin-Bieber-Baby-lyrics
Ignant Shit,Drake,2009,215069,https://genius.com/Drake-Ignant-Shit-lyrics
Nothings Gonna Hurt You Baby,Cigarettes After Sex,2012,364582,https://genius.com/Cigarettes-After-Sex-Nothings-Gonna-Hurt-You-Baby-lyrics
Be Alone,Childish Gambino,2011,192820,https://genius.com/Childish-Gambino-Be-Alone-lyrics
​i love you,Billie Eilish,2019,1874919,https://genius.com/Billie-Eilish-​i-love-you-lyrics
Cookie Thumper,Die Antwoord,2013,267617,https://genius.com/Die-Antwoord-Cookie-Thumper-lyrics
03 Bonnie  Clyde,JAY-Z,2002,653766,https://genius.com/JAYZ-03-Bonnie-Clyde-lyrics
Never Be Alone,Shawn Mendes,2015,192583,https://genius.com/Shawn-Mendes-Never-Be-Alone-lyrics
One,Ed Sheeran,2014,251828,https://genius.com/Ed-Sheeran-One-lyrics
New York Times,J. Cole,2013,263589,https://genius.com/J-Cole-New-York-Times-lyrics
Potato Salad,"Tyler, The Creator & A$AP Rocky",2018,800829,https://genius.com/Tyler-The-Creator-AAP-Rocky-Potato-Salad-lyrics
Keep Ya Head Up,2Pac,1993,1712247,https://genius.com/2Pac-Keep-Ya-Head-Up-lyrics
Devils Train,The Lab Rats,2006,310392,https://genius.com/The-Lab-Rats-Devils-Train-lyrics
Ride,Lana Del Rey,2012,586300,https://genius.com/Lana-Del-Rey-Ride-lyrics
What Goes Around... / ...Comes Around Interlude,Justin Timberlake,2006,252327,https://genius.com/Justin-Timberlake-What-Goes-Around-Comes-Around-Interlude-lyrics
20 Wave Caps,Earl Sweatshirt,2013,227599,https://genius.com/Earl-Sweatshirt-20-Wave-Caps-lyrics
Cocoon,Milky Chance,2016,198340,https://genius.com/Milky-Chance-Cocoon-lyrics
Terrorist Threats,Ab-Soul,2012,764196,https://genius.com/AbSoul-Terrorist-Threats-lyrics
WHAT TO DO?,JACKBOYS & Travis Scott,2019,429650,https://genius.com/JACKBOYS-Travis-Scott-WHAT-TO-DO-lyrics
Locked Away,R. City,2015,610765,https://genius.com/R-City-Locked-Away-lyrics
Wheres the Blow,Ski Mask the Slump God,2016,374806,https://genius.com/Ski-Mask-the-Slump-God-Wheres-the-Blow-lyrics
Life by the Sea,Tubbo,2021,196869,https://genius.com/Tubbo-Life-by-the-Sea-lyrics
Hello,ANTH,2018,287330,https://genius.com/ANTH-Hello-lyrics
I Want It That Way,Backstreet Boys,1999,1066233,https://genius.com/Backstreet-Boys-I-Want-It-That-Way-lyrics
She Will,Lil Wayne,2011,1178584,https://genius.com/Lil-Wayne-She-Will-lyrics
Kill Yourself Part III,$UICIDEBOY$,2015,2673539,https://genius.com/UICIDEBOY-Kill-Yourself-Part-III-lyrics
BTS - INTRO : Never Mind English Translation,Genius English Translations,2015,209920,https://genius.com/Genius-English-Translations-BTS-INTRO-Never-Mind-English-Translation-lyrics
Leaves,Ben&Ben,2017,187829,https://genius.com/BenBen-Leaves-lyrics
No Mediocre,T.I.,2014,507891,https://genius.com/TI-No-Mediocre-lyrics
The Vapors,Jhen Aiko,2013,231467,https://genius.com/Jhen-Aiko-The-Vapors-lyrics
Down,Jay Sean,2009,210256,https://genius.com/Jay-Sean-Down-lyrics
I Miss You,Clean Bandit,2017,401283,https://genius.com/Clean-Bandit-I-Miss-You-lyrics
Detroit vs. Everybody,Eminem,2014,909180,https://genius.com/Eminem-Detroit-vs-Everybody-lyrics
Like I Can,Sam Smith,2014,233539,https://genius.com/Sam-Smith-Like-I-Can-lyrics
Time,Lil Baby,2018,277759,https://genius.com/Lil-Baby-Time-lyrics
That Way,Wale,2011,244779,https://genius.com/Wale-That-Way-lyrics
Last Breath,Last Breath Lyrics - Future,2015,199903,https://genius.com/Last-Breath-Lyrics-Future-Last-Breath-lyrics
Africa,Toto,1982,1566001,https://genius.com/Toto-Africa-lyrics
I Got a Story to Tell,The Notorious B.I.G.,1997,408801,https://genius.com/The-Notorious-BIG-I-Got-a-Story-to-Tell-lyrics
Same Love,Macklemore & Ryan Lewis,2012,3610020,https://genius.com/Macklemore-Ryan-Lewis-Same-Love-lyrics
Headshot,"Lil Tjay, Polo G & Fivio Foreign",2021,276929,https://genius.com/Lil-Tjay-Polo-G-Fivio-Foreign-Headshot-lyrics
Face Down,Meek Mill,2012,219492,https://genius.com/Meek-Mill-Face-Down-lyrics
Watch Out,Watch Out Lyrics - 2 Chainz,2015,453750,https://genius.com/Watch-Out-Lyrics-2-Chainz-Watch-Out-lyrics
FourFiveSeconds,"Rihanna, Kanye West & Paul McCartney",2015,1408897,https://genius.com/Rihanna-Kanye-West-Paul-McCartney-FourFiveSeconds-lyrics
Tuscan Leather,Drake,2013,1578112,https://genius.com/Drake-Tuscan-Leather-lyrics
Ram Ranch,Grant MacDonald,2012,783142,https://genius.com/Grant-MacDonald-Ram-Ranch-lyrics
T-Shirt,Migos,2017,2728232,https://genius.com/Migos-TShirt-lyrics
THATS WHAT I WANT,Lil Nas X,2021,449673,https://genius.com/Lil-Nas-X-THATS-WHAT-I-WANT-lyrics
Fetti,Playboi Carti,2015,601382,https://genius.com/Playboi-Carti-Fetti-lyrics
Look at Me Now,Chris Brown,2011,2726189,https://genius.com/Chris-Brown-Look-at-Me-Now-lyrics
WHERESTHELOVE,Black Eyed Peas,2016,267101,https://genius.com/Black-Eyed-Peas-WHERESTHELOVE-lyrics
Broken Whiskey Glass,Post Malone,2016,280703,https://genius.com/Post-Malone-Broken-Whiskey-Glass-lyrics
Cardi B Bad Bunny  J Balvin - I Like It English Translation,Genius English Translations,2018,336163,https://genius.com/Genius-English-Translations-Cardi-B-Bad-Bunny-J-Balvin-I-Like-It-English-Translation-lyrics
Narcissist,No Rome,2018,203193,https://genius.com/No-Rome-Narcissist-lyrics
Buttons Remix,The Pussycat Dolls,2006,274706,https://genius.com/The-Pussycat-Dolls-Buttons-Remix-lyrics
Better Off Dying,Lil Peep,2017,437010,https://genius.com/Lil-Peep-Better-Off-Dying-lyrics
Wedding,Mac Miller,2014,266178,https://genius.com/Mac-Miller-Wedding-lyrics
4 Min Convo Favorite Song,A Boogie wit da Hoodie,2018,223923,https://genius.com/A-Boogie-wit-da-Hoodie-4-Min-Convo-Favorite-Song-lyrics
No Broken Hearts,Bebe Rexha,2016,212799,https://genius.com/Bebe-Rexha-No-Broken-Hearts-lyrics
Drama Club,Melanie Martinez,2019,191396,https://genius.com/Melanie-Martinez-Drama-Club-lyrics
New Romantics,Taylor Swift,2014,337123,https://genius.com/Taylor-Swift-New-Romantics-lyrics
BEST ON EARTH,Russ,2019,329348,https://genius.com/Russ-BEST-ON-EARTH-lyrics
X,Lil Uzi Vert,2017,361463,https://genius.com/Lil-Uzi-Vert-X-lyrics
Accordion,Madvillain,2004,806110,https://genius.com/Madvillain-Accordion-lyrics
Ok Ok,Kanye West,2021,608596,https://genius.com/Kanye-West-Ok-Ok-lyrics
I CAN’T STOP ME English Version,TWICE,2020,441979,https://genius.com/TWICE-I-CAN’T-STOP-ME-English-Version-lyrics
D.R.E.A.M.,Miley Cyrus,2019,214571,https://genius.com/Miley-Cyrus-DREAM-lyrics
Childs Play,SZA,2014,558015,https://genius.com/SZA-Childs-Play-lyrics
Talk Dirty,Jason Derulo,2013,862785,https://genius.com/Jason-Derulo-Talk-Dirty-lyrics
I Dont Care,Ed Sheeran & Justin Bieber,2019,1535096,https://genius.com/Ed-Sheeran-Justin-Bieber-I-Dont-Care-lyrics
Wasted,Travis Scott,2015,228692,https://genius.com/Travis-Scott-Wasted-lyrics
Anziety,Logic,2017,344593,https://genius.com/Logic-Anziety-lyrics
Motion Picture Soundtrack,Radiohead,2000,244639,https://genius.com/Radiohead-Motion-Picture-Soundtrack-lyrics
Brooklyns Finest,JAY-Z,1996,375261,https://genius.com/JAYZ-Brooklyns-Finest-lyrics
Ridin,A$AP Rocky,2012,225852,https://genius.com/AAP-Rocky-Ridin-lyrics
Erase Me,Kid Cudi,2010,492154,https://genius.com/Kid-Cudi-Erase-Me-lyrics
Forward,Beyonc,2016,440691,https://genius.com/Beyonc-Forward-lyrics
The Wolf,SIAMS,2016,202736,https://genius.com/SIAMS-The-Wolf-lyrics
Killing in the Name,Rage Against the Machine,1992,2092606,https://genius.com/Rage-Against-the-Machine-Killing-in-the-Name-lyrics
Zombie,The Cranberries,1994,1754218,https://genius.com/The-Cranberries-Zombie-lyrics
Slum Lords Anthem,K CAMP,2014,250109,https://genius.com/K-CAMP-Slum-Lords-Anthem-lyrics
Brain Stew,Green Day,1995,251384,https://genius.com/Green-Day-Brain-Stew-lyrics
Let It Go,Keyshia Cole,2007,233067,https://genius.com/Keyshia-Cole-Let-It-Go-lyrics
Yea Yea,Young Thug,2016,247987,https://genius.com/Young-Thug-Yea-Yea-lyrics
Ill Kill You,Summer Walker,2019,573868,https://genius.com/Summer-Walker-Ill-Kill-You-lyrics
Donald Trump,Mac Miller,2011,517537,https://genius.com/Mac-Miller-Donald-Trump-lyrics
‎good guys,LANY,2020,508512,https://genius.com/LANY-‎good-guys-lyrics
Tony Tone,A$AP Rocky,2018,347263,https://genius.com/AAP-Rocky-Tony-Tone-lyrics
Walk with Me,Bella Thorne,2018,323255,https://genius.com/Bella-Thorne-Walk-with-Me-lyrics
23,Mike WiLL Made-It,2013,2203314,https://genius.com/Mike-WiLL-MadeIt-23-lyrics
​listen before i go,Billie Eilish,2019,1082353,https://genius.com/Billie-Eilish-​listen-before-i-go-lyrics
Delicate,Taylor Swift,2017,1107165,https://genius.com/Taylor-Swift-Delicate-lyrics
Mortal Man,Kendrick Lamar,2015,1954693,https://genius.com/Kendrick-Lamar-Mortal-Man-lyrics
Cry Baby,Demi Lovato,2017,214155,https://genius.com/Demi-Lovato-Cry-Baby-lyrics
Uptown Vibes,Meek Mill,2018,202821,https://genius.com/Meek-Mill-Uptown-Vibes-lyrics
You Get Me So High,The Neighbourhood,2017,219896,https://genius.com/The-Neighbourhood-You-Get-Me-So-High-lyrics
FDB,Young Dro,2013,552297,https://genius.com/Young-Dro-FDB-lyrics
Odee,A Boogie wit da Hoodie,2018,231569,https://genius.com/A-Boogie-wit-da-Hoodie-Odee-lyrics
Transylvania,"Tyler, The Creator",2011,302982,https://genius.com/Tyler-The-Creator-Transylvania-lyrics
Bands,Shoreline Mafia,2018,690980,https://genius.com/Shoreline-Mafia-Bands-lyrics
Holiday in Cambodia,Dead Kennedys,1980,202210,https://genius.com/Dead-Kennedys-Holiday-in-Cambodia-lyrics
Delilah,Florence + the Machine,2015,229917,https://genius.com/Florence-the-Machine-Delilah-lyrics
Breakfast in America,Supertramp,1979,214305,https://genius.com/Supertramp-Breakfast-in-America-lyrics
Somebodys Problem,Morgan Wallen,2020,190789,https://genius.com/Morgan-Wallen-Somebodys-Problem-lyrics
Peach,Kevin Abstract,2019,325850,https://genius.com/Kevin-Abstract-Peach-lyrics
Lookin Ass,Nicki Minaj,2014,1416352,https://genius.com/Nicki-Minaj-Lookin-Ass-lyrics
Belong to You Remix,Sabrina Claudio,2017,234431,https://genius.com/Sabrina-Claudio-Belong-to-You-Remix-lyrics
Give It 2 U,Robin Thicke,2013,294356,https://genius.com/Robin-Thicke-Give-It-2-U-lyrics
Numb Little Bug,Em Beihold,2022,190051,https://genius.com/Em-Beihold-Numb-Little-Bug-lyrics
My Dads Gone Crazy,Eminem,2002,416634,https://genius.com/Eminem-My-Dads-Gone-Crazy-lyrics
I Will Follow You into the Dark,Death Cab for Cutie,2006,346808,https://genius.com/Death-Cab-for-Cutie-I-Will-Follow-You-into-the-Dark-lyrics
Emotionally Scarred,Lil Baby,2020,751340,https://genius.com/Lil-Baby-Emotionally-Scarred-lyrics
Lose You,Drake,2017,864875,https://genius.com/Drake-Lose-You-lyrics
Pour One,YoungBoy Never Broke Again,2017,279271,https://genius.com/YoungBoy-Never-Broke-Again-Pour-One-lyrics
King for a Day,Pierce The Veil,2012,308987,https://genius.com/Pierce-The-Veil-King-for-a-Day-lyrics
The Way You Make Me Feel,Michael Jackson,1987,240201,https://genius.com/Michael-Jackson-The-Way-You-Make-Me-Feel-lyrics
Flashlight,Jessie J,2015,411915,https://genius.com/Jessie-J-Flashlight-lyrics
Lemon Pepper Freestyle,Drake,2021,810319,https://genius.com/Drake-Lemon-Pepper-Freestyle-lyrics
Incredible,Future,2017,271251,https://genius.com/Future-Incredible-lyrics
Stay,Mac Miller,2016,340007,https://genius.com/Mac-Miller-Stay-lyrics
Who Shot Ya?,The Notorious B.I.G.,1994,974436,https://genius.com/The-Notorious-BIG-Who-Shot-Ya-lyrics
Gold Roses,Rick Ross,2019,525003,https://genius.com/Rick-Ross-Gold-Roses-lyrics
Holy Key,DJ Khaled,2016,619646,https://genius.com/DJ-Khaled-Holy-Key-lyrics
Boombastic,Shaggy,1995,207887,https://genius.com/Shaggy-Boombastic-lyrics
WAP Clean,Cardi B,2020,487054,https://genius.com/Cardi-B-WAP-Clean-lyrics
To the Bone,Pamungkas,2019,224055,https://genius.com/Pamungkas-To-the-Bone-lyrics
Honeymoon,Lana Del Rey,2015,301483,https://genius.com/Lana-Del-Rey-Honeymoon-lyrics
Time After Time,Cyndi Lauper,1984,361239,https://genius.com/Cyndi-Lauper-Time-After-Time-lyrics
Disorder,Joy Division,1979,320537,https://genius.com/Joy-Division-Disorder-lyrics
​money machine,100 gecs,2019,356273,https://genius.com/100-gecs-​money-machine-lyrics
10000 Degrees,$UICIDEBOY$,2018,270253,https://genius.com/UICIDEBOY-10000-Degrees-lyrics
Starboy,The Weeknd,2016,6784046,https://genius.com/The-Weeknd-Starboy-lyrics
Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2014,1324498,https://genius.com/Jessie-J-Ariana-Grande-Nicki-Minaj-Bang-Bang-lyrics
Six,SIX Cast,2018,422501,https://genius.com/SIX-Cast-Six-lyrics
1st of tha Month,Bone Thugs-N-Harmony,1995,266526,https://genius.com/Bone-ThugsNHarmony-1st-of-tha-Month-lyrics
The Night We Met Remix,Lord Huron,2018,470434,https://genius.com/Lord-Huron-The-Night-We-Met-Remix-lyrics
Beggin,Madcon,2007,315722,https://genius.com/Madcon-Beggin-lyrics
BTS - 상남자 Boy In Luv English Translation,Genius English Translations,2014,356427,https://genius.com/Genius-English-Translations-BTS-상남자-Boy-In-Luv-English-Translation-lyrics
Telephone Calls,A$AP Mob,2016,730658,https://genius.com/AAP-Mob-Telephone-Calls-lyrics
Blue Jeans,Lana Del Rey,2012,678913,https://genius.com/Lana-Del-Rey-Blue-Jeans-lyrics
Magic,Coldplay,2014,312963,https://genius.com/Coldplay-Magic-lyrics
Audi.,Smokepurpp,2017,607441,https://genius.com/Smokepurpp-Audi-lyrics
Gimme the Loot,The Notorious B.I.G.,1994,796847,https://genius.com/The-Notorious-BIG-Gimme-the-Loot-lyrics
Daylight,Aesop Rock,2001,367196,https://genius.com/Aesop-Rock-Daylight-lyrics
She Used to Be Mine,Jessie Mueller,2016,229570,https://genius.com/Jessie-Mueller-She-Used-to-Be-Mine-lyrics
No Church in the Wild,JAY-Z & Kanye West,2011,3244876,https://genius.com/JAYZ-Kanye-West-No-Church-in-the-Wild-lyrics
BLACK BALLOONS | 13LACK 13ALLOONZ,Denzel Curry,2018,332991,https://genius.com/Denzel-Curry-BLACK-BALLOONS-13LACK-13ALLOONZ-lyrics
Requiem,"Laura Dreyfuss, Michael Park & Jennifer Laura Thompson",2017,397994,https://genius.com/Laura-Dreyfuss-Michael-Park-Jennifer-Laura-Thompson-Requiem-lyrics
Party in the U.S.A.,Miley Cyrus,2009,471193,https://genius.com/Miley-Cyrus-Party-in-the-USA-lyrics
Breathe,Lauv,2016,320180,https://genius.com/Lauv-Breathe-lyrics
Like Real People Do,Hozier,2014,347391,https://genius.com/Hozier-Like-Real-People-Do-lyrics
A Different Way,DJ Snake,2017,287384,https://genius.com/DJ-Snake-A-Different-Way-lyrics
Call It What You Want,Taylor Swift,2017,1106570,https://genius.com/Taylor-Swift-Call-It-What-You-Want-lyrics
Window Pain Outro,J. Cole,2018,580159,https://genius.com/J-Cole-Window-Pain-Outro-lyrics
My Way Remix,Fetty Wap,2015,2480682,https://genius.com/Fetty-Wap-My-Way-Remix-lyrics
Shotgun,George Ezra,2018,467322,https://genius.com/George-Ezra-Shotgun-lyrics
Confessions of a Dangerous Mind,Logic,2019,523415,https://genius.com/Logic-Confessions-of-a-Dangerous-Mind-lyrics
Pyramids,Frank Ocean,2012,2255934,https://genius.com/Frank-Ocean-Pyramids-lyrics
Million Dollar Man,Lana Del Rey,2012,233923,https://genius.com/Lana-Del-Rey-Million-Dollar-Man-lyrics
TKO Black Friday Remix,Justin Timberlake,2013,398105,https://genius.com/Justin-Timberlake-TKO-Black-Friday-Remix-lyrics
BUSY / SIRENS,Saba,2018,190290,https://genius.com/Saba-BUSY-SIRENS-lyrics
Losses,Drake,2020,382052,https://genius.com/Drake-Losses-lyrics
Act Up,City Girls,2018,1229811,https://genius.com/City-Girls-Act-Up-lyrics
Thats Life,Frank Sinatra,1966,483954,https://genius.com/Frank-Sinatra-Thats-Life-lyrics
Back to Sleep,Chris Brown,2015,377307,https://genius.com/Chris-Brown-Back-to-Sleep-lyrics
Cornelia Street,Taylor Swift,2019,710018,https://genius.com/Taylor-Swift-Cornelia-Street-lyrics
