iter	Passed	Remaining
774	26741	7763
775	26775	7729
776	26811	7694
777	26846	7660
778	26882	7626
779	26916	7591
780	26952	7557
781	26989	7523
782	27023	7489
783	27057	7454
784	27093	7420
785	27128	7386
786	27162	7351
787	27197	7317
788	27230	7282
789	27264	7247
790	27300	7213
791	27335	7179
792	27371	7144
793	27410	7111
794	27445	7077
795	27482	7043
796	27518	7009
797	27553	6974
798	27586	6939
799	27623	6905
800	27659	6871
801	27693	6837
802	27727	6802
803	27764	6768
804	27799	6734
805	27833	6699
806	27866	6664
807	27902	6630
808	27937	6595
809	27972	6561
810	28008	6527
811	28043	6492
812	28077	6458
813	28111	6423
814	28147	6389
815	28187	6356
816	28220	6321
817	28254	6286
818	28291	6252
819	28327	6218
820	28360	6183
821	28395	6148
822	28431	6114
823	28471	6081
824	28505	6046
825	28543	6012
826	28576	5978
827	28614	5944
828	28649	5909
829	28681	5874
830	28719	5840
831	28755	5806
832	28788	5771
833	28823	5737
834	28859	5702
835	28893	5668
836	28927	5633
837	28964	5599
838	28998	5564
839	29034	5530
840	29071	5496
841	29104	5461
842	29140	5427
843	29173	5392
844	29206	5357
845	29239	5322
846	29275	5288
847	29309	5253
848	29345	5219
849	29384	5185
850	29419	5151
851	29455	5116
852	29498	5083
853	29534	5049
854	29567	5014
855	29603	4979
856	29639	4945
857	29676	4911
858	29711	4876
859	29748	4842
860	29786	4808
861	29819	4773
862	29856	4739
863	29891	4705
864	29925	4670
865	29956	4635
866	29989	4600
867	30024	4565
868	30059	4531
869	30094	4496
870	30130	4462
871	30163	4427
872	30201	4393
873	30236	4359
874	30270	4324
875	30306	4289
876	30342	4255
877	30375	4220
878	30407	4185
879	30440	4151
880	30479	4116
881	30515	4082
882	30550	4047
883	30587	4013
884	30621	3979
885	30658	3944
886	30693	3910
887	30731	3876
888	30768	3841
889	30806	3807
890	30844	3773
891	30881	3738
892	30921	3705
893	30960	3670
894	31005	3637
895	31043	3603
896	31079	3568
897	31118	3534
898	31153	3500
899	31190	3465
900	31230	3431
901	31268	3397
902	31305	3362
903	31343	3328
904	31383	3294
905	31424	3260
906	31466	3226
907	31508	3192
908	31546	3158
909	31588	3124
910	31639	3090
911	31681	3056
912	31723	3022
913	31762	2988
914	31799	2954
915	31840	2919
916	31879	2885
917	31918	2851
918	31959	2816
919	31997	2782
920	32036	2747
921	32073	2713
922	32114	2679
923	32154	2644
924	32193	2610
925	32235	2576
926	32274	2541
927	32313	2507
928	32354	2472
929	32393	2438
930	32433	2403
931	32475	2369
932	32517	2335
933	32559	2300
934	32596	2266
935	32636	2231
936	32676	2197
937	32712	2162
938	32753	2127
939	32795	2093
940	32835	2058
941	32877	2024
942	32916	1989
943	32958	1955
944	32995	1920
945	33036	1885
946	33077	1851
947	33116	1816
948	33154	1781
949	33194	1747
950	33231	1712
951	33272	1677
952	33313	1642
953	33355	1608
954	33481	1577
955	33523	1542
956	33564	1508
957	33607	1473
958	33647	1438
959	33690	1403
960	33730	1368
961	33772	1334
962	33812	1299
963	33854	1264
964	33894	1229
965	33932	1194
966	33972	1159
967	34012	1124
968	34052	1089
969	34092	1054
970	34131	1019
971	34173	984
972	34212	949
973	34250	914
974	34291	879
975	34330	844
976	34369	809
977	34409	774
978	34447	738
979	34486	703
980	34527	668
981	34566	633
982	34606	598
983	34649	563
984	34686	528
985	34726	493
986	34768	457
987	34808	422
988	34851	387
989	34890	352
990	34930	317
991	34969	282
992	35007	246
993	35045	211
994	35086	176
995	35123	141
996	35163	105
997	35210	70
998	35249	35
999	35288	0
